"","TI","code","age","gender","edu","manage","conhour","contype","lmx","infshare","voice","paysatis","fair","proact","caropp"
"460",2,"JXbrons",-11.3610729023384,0.570151306740027,2.07977991746905,0.762723521320495,-30.5618982118294,-0.804676753782668,0.341872994039431,0.482118294360385,1.56310178817056,0.630215497478221,0.633296079779917,0.0610729023383767,1.37391104997708
"461",2.33333333333333,"LBbrons",-10.3610729023384,-0.429848693259972,1.07977991746905,-0.237276478679505,8.43810178817056,-0.804676753782668,0.00853966070609813,1.48211829436039,0.813101788170564,-0.369784502521779,-0.0542039202200826,0.661072902338376,0.0405777166437415
"462",1.66666666666667,"LBbrons",-10.3610729023384,0.570151306740027,1.07977991746905,-0.237276478679505,8.43810178817056,0.195323246217332,-0.491460339293902,1.48211829436039,0.313101788170564,0.630215497478221,0.508296079779917,0.0610729023383767,0.707244383310408
"463",2.66666666666667,"LBbrons",-7.36107290233838,0.570151306740027,2.07977991746905,-0.237276478679505,8.43810178817056,0.195323246217332,-0.574793672627235,-0.0178817056396148,0.813101788170564,-0.0364511691884455,-0.366703920220083,0.661072902338376,-0.292755616689592
"464",2,"LBbrons",1.63892709766162,-0.429848693259972,1.07977991746905,0.762723521320495,4.43810178817056,0.195323246217332,0.175206327372765,-0.0178817056396148,-0.186898211829436,0.630215497478221,-0.0542039202200826,0.261072902338377,-0.626088950022925
"465",1,"LBbrons",18.6389270976616,0.570151306740027,2.07977991746905,-0.237276478679505,4.43810178817056,0.195323246217332,0.258539660706098,-0.517881705639615,0.813101788170564,1.29688216414489,0.00829607977991742,1.06107290233838,1.70724438331041
"466",3.66666666666667,"LBbrons",-3.36107290233838,0.570151306740027,2.07977991746905,-0.237276478679505,8.43810178817056,0.195323246217332,-1.65812700596057,-1.51788170563961,-1.43689821182944,-0.703117835855112,-0.929203920220083,0.261072902338377,-0.626088950022925
"467",1.33333333333333,"LBbrons",17.6389270976616,-0.429848693259972,2.07977991746905,-0.237276478679505,8.43810178817056,0.195323246217332,0.258539660706098,0.482118294360385,0.063101788170564,0.296882164144888,0.258296079779917,0.0610729023383767,0.707244383310408
"468",1,"LBbrons",14.6389270976616,0.570151306740027,1.07977991746905,-0.237276478679505,4.43810178817056,0.195323246217332,0.258539660706098,1.48211829436039,0.313101788170564,0.296882164144888,-0.241703920220083,0.0610729023383767,0.707244383310408
"469",2.66666666666667,"LBbrons",-3.36107290233838,-0.429848693259972,1.07977991746905,-0.237276478679505,8.43810178817056,0.195323246217332,-1.15812700596057,-1.01788170563961,0.313101788170564,-0.0364511691884455,-0.616703920220083,0.0610729023383767,-0.626088950022925
"470",4.33333333333333,"LBbrons",-7.36107290233838,0.570151306740027,2.07977991746905,-0.237276478679505,4.43810178817056,0.195323246217332,0.591872994039431,0.982118294360385,1.06310178817056,0.296882164144888,0.258296079779917,0.461072902338377,1.04057771664374
"471",1.66666666666667,"LBbrons",12.6389270976616,-0.429848693259972,1.07977991746905,0.762723521320495,4.43810178817056,-0.804676753782668,-0.241460339293902,1.48211829436039,0.563101788170564,1.29688216414489,0.00829607977991742,0.0610729023383767,0.373911049977075
"472",3.33333333333333,"LBbrons",-4.36107290233838,-0.429848693259972,2.07977991746905,-0.237276478679505,8.43810178817056,0.195323246217332,0.675206327372765,1.48211829436039,1.06310178817056,0.630215497478221,0.00829607977991742,0.461072902338377,-1.95942228335626
"473",2.33333333333333,"LBbrons",22.6389270976616,-0.429848693259972,1.07977991746905,-0.237276478679505,4.43810178817056,0.195323246217332,0.175206327372765,0.482118294360385,0.813101788170564,0.630215497478221,-0.366703920220083,0.0610729023383767,-0.959422283356258
"474",3.33333333333333,"LBbrons",18.6389270976616,-0.429848693259972,1.07977991746905,-0.237276478679505,4.43810178817056,0.195323246217332,-0.741460339293902,1.48211829436039,1.06310178817056,1.29688216414489,0.258296079779917,0.661072902338376,0.0405777166437415
"475",5,"LBbrons",9.63892709766162,-0.429848693259972,1.07977991746905,-0.237276478679505,8.43810178817056,0.195323246217332,-1.65812700596057,1.48211829436039,0.563101788170564,0.296882164144888,-0.491703920220083,-1.73892709766162,-1.62608895002293
"476",1,"LBbrons",16.6389270976616,-0.429848693259972,1.07977991746905,-0.237276478679505,4.43810178817056,0.195323246217332,0.341872994039431,1.48211829436039,1.81310178817056,0.630215497478221,0.320796079779917,0.0610729023383767,0.373911049977075
"477",1,"LBbrons",12.6389270976616,-0.429848693259972,1.07977991746905,-0.237276478679505,4.43810178817056,-0.804676753782668,-2.7414603392939,-2.51788170563961,-2.18689821182944,-2.36978450252178,-2.36670392022008,-2.93892709766162,-2.29275561668959
"479",2.66666666666667,"LBbrons",-4.36107290233838,0.570151306740027,2.07977991746905,-0.237276478679505,0.438101788170563,0.195323246217332,-0.158127005960568,0.482118294360385,0.813101788170564,-0.0364511691884455,-0.741703920220083,0.0610729023383767,0.373911049977075
"480",1,"LBbrons",7.63892709766162,0.570151306740027,1.07977991746905,-0.237276478679505,0.438101788170563,-0.804676753782668,-0.158127005960568,-1.51788170563961,-1.18689821182944,1.29688216414489,-0.366703920220083,-1.13892709766162,0.707244383310408
"481",1,"LBbruin",-3.36107290233838,-0.429848693259972,1.07977991746905,-0.237276478679505,6.43810178817056,-0.804676753782668,0.0918729940394316,-0.517881705639615,-1.18689821182944,0.630215497478221,-0.241703920220083,0.0610729023383767,-0.626088950022925
"482",3.66666666666667,"LBbruin",-9.36107290233838,-0.429848693259972,-1.92022008253095,-0.237276478679505,6.43810178817056,0.195323246217332,-0.741460339293902,0.482118294360385,-0.186898211829436,-1.70311783585511,-0.929203920220083,-0.338927097661623,-1.29275561668959
"483",1,"LBbruin",16.6389270976616,-0.429848693259972,0.0797799174690512,-0.237276478679505,6.43810178817056,0.195323246217332,1.0085396607061,1.48211829436039,0.313101788170564,-0.0364511691884455,-0.0542039202200826,1.06107290233838,-0.292755616689592
"484",1.66666666666667,"LBbruin",-14.3610729023384,-0.429848693259972,1.07977991746905,-0.237276478679505,6.43810178817056,0.195323246217332,0.591872994039431,-0.517881705639615,0.063101788170564,0.630215497478221,-0.179203920220083,0.661072902338376,0.373911049977075
"485",5,"LBbruin",-8.36107290233838,-0.429848693259972,2.07977991746905,-0.237276478679505,6.43810178817056,0.195323246217332,0.591872994039431,-2.01788170563961,0.313101788170564,-0.369784502521779,-0.491703920220083,-0.938927097661623,-0.959422283356258
