"","TI2","TI","code","age","gender","edu","lmx","voice","paysatis","fair","proact","caropp"
"1","NoQuit",2,"ALbeige",-14.3610729023384,-0.429848693259972,1.07977991746905,0.925206327372765,1.06310178817056,0.630215497478221,-0.241703920220083,0.661072902338376,0.0405777166437415
"2","NoQuit",3,"ALbeige",-6.36107290233838,-0.429848693259972,1.07977991746905,0.675206327372765,0.563101788170564,-0.369784502521779,-0.116703920220083,0.0610729023383767,1.04057771664374
"3","NoQuit",1.33333333333333,"ALbeige",5.63892709766162,0.570151306740027,2.07977991746905,1.0085396607061,1.81310178817056,0.963548830811554,1.13329607977992,1.06107290233838,1.70724438331041
"4","NoQuit",1.33333333333333,"ALbeige",4.63892709766162,-0.429848693259972,2.07977991746905,0.0918729940394316,0.313101788170564,0.630215497478221,0.195796079779917,0.0610729023383767,0.373911049977075
"5","NoQuit",1,"ALgeel",-1.36107290233838,-0.429848693259972,-0.920220082530949,0.675206327372765,0.563101788170564,0.630215497478221,0.758296079779917,0.461072902338377,0.707244383310408
"6","NoQuit",2.33333333333333,"ALgeel",-10.3610729023384,-0.429848693259972,1.07977991746905,0.758539660706098,0.313101788170564,0.296882164144888,0.508296079779917,1.06107290233838,1.70724438331041
"7","NoQuit",2.66666666666667,"ALgeel",-11.3610729023384,0.570151306740027,1.07977991746905,-0.658127005960568,-0.186898211829436,-0.703117835855112,-1.17920392022008,-0.138927097661623,0.0405777166437415
"8","NoQuit",1.33333333333333,"ALgeel",-8.36107290233838,0.570151306740027,1.07977991746905,-0.241460339293902,0.313101788170564,-0.703117835855112,-1.11670392022008,-0.138927097661623,-0.292755616689592
"9","NoQuit",2,"ALgeel",-14.3610729023384,0.570151306740027,1.07977991746905,0.758539660706098,0.813101788170564,-0.0364511691884455,0.133296079779917,-0.938927097661623,0.707244383310408
"10","NoQuit",2,"ALgeel",-7.36107290233838,0.570151306740027,1.07977991746905,0.175206327372765,1.31310178817056,0.630215497478221,0.633296079779917,1.06107290233838,0.707244383310408
